type	locus	start	end	orientation	annot
CDS	STM0109	126848	128506	11	activates sgrS under glucose-phosphate stressconditionsHTH-type transcriptional regulator SgrR
CDS	STM0110	129057	129662	11	catalyzes the isomerization between2-isopropylmalate and 3-isopropylmalate in leucine3-isopropylmalate dehydratase small subunit
CDS	STM0111	129673	131073	11	dehydratase component, catalyzes the isomerizationbetween 2-isopropylmalate and 3-isopropylmalate3-isopropylmalate dehydratase large subunit
CDS	STM0112	131076	132167	11	catalyzes the oxidation of 3-isopropylmalate to3-carboxy-4-methyl-2-oxopentanoate in leucine3-isopropylmalate dehydrogenase
CDS	STM0113	132167	133738	11	catalyzes the formation of 2-isopropylmalate fromacetyl-CoA and 2-oxoisovalerate in leucine biosynthesis2-isopropylmalate synthase
CDS	STM0114	133826	133912	11	involved in attenuation control of the leuABCDoperon in leucine biosynthesisleu operon leader peptide
CDS	STM0115	134569	135513	0	activator for leuABCD operon; member of LysR familyof transcriptional activatorsHTH-type transcriptional regulator LeuO
CDS	STM0116	135898	137559	0	catalytic subunit; catalyzes the formation of2-acetolactate from pyruvate, leucine sensitiveacetolactate synthase 3 large subunit
CDS	STM0117	137562	138053	0	regulatory subunit; with IlvI catalyzes theformation of 2-acetolactate from pyruvate, the smallacetolactate synthase 3 small subunit
CDS	STM0118	138337	139341	0	binds D-fructose as an inducer; involved inregulation of operons for central pathways of carbonDNA-binding transcriptional regulator FruR
CDS	STM04630	139338	139487	11	hypothetical protein
CDS	STM0119	139947	140405	0	MraZ; UPF0040; crystal structure shows similarityto AbrBcell division protein MraZ
CDS	STM0120	140407	141348	0	rRNA small subunit methyltransferase H
CDS	STM0121	141345	141710	0	membrane bound cell division protein at septumcontaining leucine zipper motifcell division protein FtsL
CDS	STM0122	141726	143492	0	penicillin-binding protein 3peptidoglycan synthase FtsI
CDS	STM0123	143479	144966	0	involved in cell wall formation; peptidoglycansynthesis; cytoplasmic enzyme; catalyzes the addition ofUDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase
CDS	STM0124	144963	146321	0	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CDS	STM0125	146315	147397	0	First step of the lipid cycle reactions in thebiosynthesis of the cell wall peptidoglycanphospho-N-acetylmuramoyl-pentapeptide-transferase
CDS	STM0126	147400	148716	0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamatesynthetase; involved in peptidoglycan biosynthesis;UDP-N-acetylmuramoylalanine--D-glutamate ligase
CDS	STM0127	148716	149960	0	cell division protein FtsW; integral membraneprotein involved in stabilizing FstZ ring during celllipid II flippase FtsW
CDS	STM0128	149957	151024	0	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase; involved in cell wallUDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol
CDS	STM0129	151143	152618	0	Catalyzes the formation ofUDP-N-acetylmuramoyl-L-alanine from UDP-N-acetylmuramateUDP-N-acetylmuramate--L-alanine ligase
CDS	STM0130	152611	153531	0	D-alanine--D-alanine ligase; DdlA; DdlB;cytoplasmic; catalyzes the formation of D-alanyl-D-alanineD-alanine--D-alanine ligase
CDS	STM0131	153533	154363	0	involved in septum formationcell division protein FtsQ
CDS	STM0132	154360	155622	0	ATP-binding involved in recruitment of FtsK to Zring; essential cell division protein; colocalizes withcell division protein FtsA
CDS	STM0133	155683	156834	0	GTPase; similar structure to tubulin; formsring-shaped polymers at the site of cell division; othercell division protein FtsZ
CDS	STM0134	156935	157852	0	zinc-dependent; catalyzes the deacetylation ofUDP-(3-O-acyl)-N-acetylglucosamine toUDP-3-O-[3-hydroxymyristoyl] N-acetylglucosaminedeacetylase
CDS	STM0135	158130	158627	0	secM translational pause allows for the initiationof secA translationSecA regulator SecM
CDS	STM0136	158689	161394	0	functions in protein export; can interact withacidic membrane phospholipids and the SecYEG proteinpreprotein translocase subunit SecA
CDS	STM0137	161546	161941	0	prefers dGTP; causes AT-GC transversions7,8-dihydro-8-oxoguanine-triphosphatase
CDS	STM0138	162263	162454	11	DNA gyrase inhibitor
CDS	STM0139	162464	163207	11	cell division protein ZapD
CDS	STM0140	163207	163827	11	catalyzes the phosphorylation of the 3'-hydroxylgroup of dephosphocoenzyme A to form coenzyme A; involveddephospho-CoA kinase
CDS	STM0141	164053	165096	0	guanosine 5'-monophosphate oxidoreductase;catalyzes the NADPH-dependent deamination of GMP toGMP reductase
CDS	STM0142	165127	166329	11	involved in biogenesis of fimbriae, proteintransport, DNA uptaketype IV pilin biogenesis protein
CDS	STM0143	166319	167704	11	integral membrane protein
CDS	STM0144	167714	168151	11	major pilin subunit
CDS	STM0145	168373	169266	11	quinolinate phosphoribosyltransferase; catalyzesthe formation of pyridine-2,3-dicarboxylate andnicotinate-nucleotide pyrophosphorylase
CDS	STM0146	169354	169917	0	1,6-anhydro-N-acetylmuramyl-L-alanine amidaseAmpD
CDS	STM0147	169914	170768	0	involved in regulation of beta-lactamase; signalingproteinregulatory protein AmpE
CDS	STM0148	170860	171810	11	hypothetical protein
CDS	STM0149	171810	173216	11	Na+/galactoside symporter
CDS	STM0150	173380	174753	11	aromatic amino acid transport protein AroP
CDS	STM0151	175316	176080	0	activates lctPRD operon; autoregulates itselfthrough repression of pdhR-aceEF-lpdA operon; regulatespyruvate dehydrogenase complex repressor
CDS	STM0152	176240	178903	0	E1 component; part of pyruvate dehydrogenase; formsa complex with DlaT and LpdCpyruvate dehydrogenase decarboxylase subunit E1
CDS	STM0153	178918	180807	0	E2 component of pyruvate dehydrogenase multienzymecomplex; in Escherichia coli AceF contains threepyruvate dehydrogenasedihydrolipoyltransacetylase subunit E2
CDS	STM0154	181007	182431	0	E3 component of pyruvate and 2-oxoglutaratedehydrogenase complex; catalyzes the oxidation ofpyruvate dehydrogenase lipoamide dehydrogenasesubunit E3
CDS	STM0155	182720	183004	0	outer membrane protein
CDS	STM0156	183042	183833	11	periplasmic protein
CDS	STM0157	183846	185468	11	outer membrane protein
CDS	STM0158	185857	188454	0	catalyzes the conversion of citrate to isocitrateand the conversion of 2-methylaconitate tobifunctional aconitate hydratase2/2-methylisocitrate dehydratase
CDS	STM0159	188515	189357	11	restriction endonuclease
CDS	STM0160	189603	189965	0	hypothetical protein
CDS	STM0161	190200	191153	0	transports degraded pectin products into thebacterial cell2-keto-3-deoxygluconate permease
CDS	STM0162	191150	192421	0	inner membrane protein
CDS	STM0163	192411	193394	0	catalyzes oxidation of4-(phosphohydroxy)-L-threonine into4-hydroxythreonine-4-phosphate dehydrogenase
CDS	STM0164	193404	194171	0	LysR family transcriptional regulator
CDS	STM0165	194201	194995	11	S-adenosylmethionine provides the aminopropylmoiety required for spermidine biosynthesis fromS-adenosylmethionine decarboxylase
CDS	STM0166	195016	195876	11	catalyzes the formation of spermidine fromputrescine and S-adenosylmethioninaminespermidine synthase
CDS	STM0167	195983	196330	11	periplasmic protein
CDS	STM0168	196532	198142	0	laccase; copper-stimulated phenoloxidase andferroxidase which may be involved in copperblue copper oxidase CueO
CDS	STM0169	198220	200610	11	glucose dehydrogenase
CDS	STM0170	200816	201352	0	Catalyzes the salvage synthesis ofinosine-5'-monophosphate (IMP) andhypoxanthine phosphoribosyltransferase
CDS	STM0171	201410	202072	11	catalyzes the interconversion of bicarbonate andcarbon dioxidecarbonic anhydrase
CDS	STM0172	202181	203107	0	multidrug ABC transporter ATPase
CDS	STM0173	203104	203874	0	ABC superfamily membrane proteintransporter
CDS	STM0174	203991	205070	11	fimbrial protein
CDS	STM0175	205079	207625	11	fimbrial usher
CDS	STM0176	207652	208335	11	fimbrial chaperone
CDS	STM0177	208383	208922	11	fimbrial subunit
CDS	STM0178	209293	209733	0	PTS system transporter subunit IIA
CDS	STM0179	209795	211024	0	xylanase/chitin deacetylase
CDS	STM0180	211031	211411	11	Converts L-aspartate to beta-alanine and providesthe major route of beta-alanine production in bacteria.aspartate 1-decarboxylase
CDS	STM0181	211506	212360	11	catalyzes the formation of (R)-pantothenate frompantoate and beta-alaninepantoate synthetase
CDS	STM0182	212486	213277	11	catalyzes the formation of tetrahydrofolate and2-dehydropantoate from 5,10-methylenetetrahydrofolate and3-methyl-2-oxobutanoatehydroxymethyltransferase
CDS	STM0183	213398	213877	11	catalyzes the formation of2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase
CDS	STM0184	213874	215292	11	Polymerase that creates the 3' poly(A) tail foundin some mRNA'spoly(A) polymerase I
CDS	STM0185	215433	216329	11	this tRNA synthetase lacks the tRNA anticodoninteraction domain; instead this enzyme modifies tRNA(Asp)glutamyl-Q tRNA(Asp) synthetase
CDS	STM0186	216398	216853	11	dnaK suppressor protein (SW:DKSA_SALTY); suppressesdnaK deletionRNA polymerase-binding transcription factor
CDS	STM0187	217030	217734	11	Regulatory factor involved in maltose metabolismsugar fermentation stimulation protein A
CDS	STM0188	217751	218281	11	2'-5' RNA ligase
CDS	STM0189	218309	220783	0	ATP-dependent helicase
CDS	STM0190	220923	223445	0	penicillin-binding protein 1b; containstransglycosylase and transpeptidase activity; major enzymetranspeptidase/transglycosylase
CDS	STM0191	223738	225927	0	involved with the transport of ferrichrome acrossthe outer membrane; binds the ferrichrome-iron ligand andferrichrome outer membranereceptor/ transporter
CDS	STM0192	225976	226773	0	part of the FhuBCD ATP-dependent iron (III)hydroxamate transporteriron(3+)-hydroxamate ABC transporter ATP-bindingprotein FhuC
CDS	STM0193	226773	227663	0	Part of the FhuBCD ATP-dependent iron (III)hydroxamate transporter; binds to all hydroxamateiron(3+)-hydroxamate ABC transportersubstrate-binding protein FhuD
CDS	STM0194	227660	229717	0	part of the FhuBCD ATP-dependent iron (III)hydroxamate transporter involved in the high-affinityiron(3+)-hydroxamate ABC transporter permeaseFhuB
CDS	STM0195	230657	231217	0	major fimbrial subunit StfAfimbrial subunit
CDS	STM0196	231303	233960	0	outer membrane usher protein StfCfimbrial outer membrane usher
CDS	STM0197	233978	234730	0	periplasmic fimbrial chaperone StfDperiplasmic fimbrial chaperone
CDS	STM0198	234749	235261	0	minor fimbrial subunit StfEminor fimbrial subunit
CDS	STM0199	235258	235734	0	minor fimbrial subunit StfFminor fimbrial subunit
CDS	STM0200	235734	236264	0	minor fimbrial subunit StfG; adhesinminor fimbrial subunit
CDS	STM0201	236264	237103	0	outer membrane protein
CDS	STM0202	237211	238491	11	Converts (S)-4-amino-5-oxopentanoate to5-aminolevulinate during the porphyrin biosynthesisglutamate-1-semialdehyde 2,1-aminomutase
CDS	STM0203	238661	240082	0	Acts as an electrical shunt for anoutwardly-directed proton pump that is linked to aminoH(+)/Cl(-) exchange transporter ClcA
CDS	STM0204	240164	240508	0	essential respiratory protein A; may be involved inthe transfer of iron-sulfur clusters; essential for growthiron-sulfur cluster insertion protein ErpA
CDS	STM0205	240609	241232	11	inner membrane protein
CDS	STM0206	241269	242069	11	solute binding component of the vitamin B12transport system BtuCDFvitamin B12 transporter substrate-bindingprotein BtuF
CDS	STM0207	242062	242760	11	enables the cleavage of the glycosidic bond in both5'-methylthioadenosine and S-adenosylhomocysteine5'-methylthioadenosine/S-adenosylhomocysteinenucleosidase
CDS	STM0208	242845	244362	0	forms a homotetramer; requires magnesium foractivity; catalyzes the hydrolysis of dGTP to formdeoxyguanosinetriphosphate triphosphohydrolase
CDS	STM0209	244492	245919	0	protease Do; required at high temperature; degradesdamaged proteinsserine endoprotease
CDS	STM0210	246072	247229	0	regulates the expression of the operons for theenzymes involved in galactarate, glucarate and glyceratecarbohydrate diacid transcriptional activatorCdaR
CDS	STM0211	247318	247704	11	hypothetical protein
CDS	STM0212	247951	249252	0	inner membrane protein
CDS	STM0213	249289	250113	11	catalyzes the formation ofN-succinyl-2-amino-6-ketopimelate from succinyl-CoA and2,3,4,5-tetrahydropyridine-2,6-dicarboxylateN-succinyltransferase
CDS	STM0214	250143	252815	11	catalyzes the uridylylation or deuridylylation ofthe PII nitrogen regulatory proteinbifunctionaluridylyltransferase/uridylyl-removing protein
CDS	STM0215	253052	253846	11	catalyzes the removal of N-terminal amino acidsfrom peptides and arylamides; generally Co(II) howevermethionine aminopeptidase
CDS	STM0216	254297	255022	0	one of the last subunits in the assembly of the 30Ssubunit; absence of S2 does not inhibit assembly but30S ribosomal protein S2
CDS	STM0217	255280	256131	0	EF-Ts; functions during elongation stage of proteintranslation; forms a dimer; associates with EF-Tu-GDPelongation factor Ts
CDS	STM0218	256276	257001	0	Catalyzes the phosphorylation of UMP to UDPuridylate kinase
CDS	STM0219	257148	257705	0	Rrf; Frr; ribosome-recycling factor; release factor4; RF4; recycles ribosomes upon translation terminationribosome recycling factor
CDS	STM0220	257846	259042	0	catalyzes the NADP-dependent rearrangement andreduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to1-deoxy-D-xylulose 5-phosphate reductoisomerase
CDS	STM0221	259355	260113	0	catalyzes the formation of undecaprenylpyrophosphate from isopentenyl pyrophosphateDitrans,polycis-undecaprenyl-diphosphatesynthase
CDS	STM0222	260126	260983	0	catalyzes the synthesis of CDP-diglyceride from CTPand phosphatidatephosphatidate cytidylyltransferase
CDS	STM0223	260995	262347	0	catalyzes the cleavage of RseA which activates thesigmaE-mediated stress responsezinc metallopeptidase RseP
CDS	STM0224	262379	264793	0	part of a complex with BamABCDE; involved in outermembrane protein biosynthesis; involved in the assembly ofouter membrane protein assembly factor BamA
CDS	STM0225	264916	265401	0	outer membrane protein OmpHchaperone protein Skp
CDS	STM0226	265405	266430	0	adds the O-linked and N-linked 3(R)-hydroxy fattyacids to the glucosamine disaccharide during lipid AUDP-3-O-[3-hydroxymyristoyl] glucosamineN-acyltransferase
CDS	STM0227	266536	266991	0	in Pseudomonas aeruginosa this enzyme is a trimerof dimers; essential for membrane formation; performs(3R)-hydroxymyristoyl-ACP dehydratase
CDS	STM0228	266995	267783	0	UDP-N-acetylglucosamine acyltransferase; catalyzesthe addition of (R)-3-hydroxytetradecanoyl to theacyl-[ACP]--UDP-N-acetylglucosamineO-acyltransferase
CDS	STM0229	267783	268931	0	catalyzes the formation of lipid A disaccharidefrom UDP-2,3-diacylglucosamine andlipid-A-disaccharide synthase
CDS	STM0230	268928	269524	0	RNH2; RNase HII; binds manganese; endonucleasewhich specifically degrades the RNA of RNA-DNA hybridsribonuclease HII
CDS	STM0231	269548	273030	0	catalyzes DNA-template-directed extension of the3'- end of a DNA strand by one nucleotide at a time; mainDNA polymerase III subunit alpha
CDS	STM0232	273043	274002	0	catalyzes the carboxylation of acetyl-CoA tomalonyl-CoA; forms a tetramer composed of two alpha (AccA)acetyl-CoA carboxylase carboxyltransferasesubunit alpha
CDS	STM0233	274183	275946	0	endochitinase
CDS	STM0234	276022	278163	0	lysine decarboxylase 2
CDS	STM0235	278219	278608	0	lyase
CDS	STM0236	278671	279963	0	Ligates lysine onto the cytidine present atposition 34 of the AUA codon-specific tRNA(Ile) thattRNA(Ile)-lysidine synthetase
CDS	STM0237	280047	280307	11	Suppresses temperature-sensitive mutations inessential genes by modulating rho-dependent transcriptionRho-binding antiterminator
CDS	STM0238	280294	280512	11	hypothetical protein
CDS	STM0239	280692	281237	0	hypothetical 20.8 kDa protein in mesJ-cutFintergenic region (SW:YAEQ_SALTY)hypothetical protein
CDS	STM0240	281234	281656	0	putative-tRNA hydrolase domainhydrolase domain-containing protein
CDS	STM0242	282467	284185	11	catalyzes the formation of prolyl-tRNA(Pro) fromproline and tRNA(Pro)proline--tRNA ligase
CDS	STM0243	284296	285003	11	regulator
CDS	STM0244	285000	285404	11	colanic acid synthesis regulator
CDS	STM0245	285523	286338	11	DL-methionine ABC transporter substrate-bindingprotein MetQ
CDS	STM0246	286377	287030	11	part of the MetNIQ methionine uptake systemDL-methionine ABC transporter permease MetI
CDS	STM0247	287023	288054	11	part of the metNIQ transport system for methionineDL-methionine ABC transporter ATP-bindingprotein MetN
CDS	STM0248	288244	288810	0	Converts the D-glycero-beta-D-manno-heptose1,7-bisphosphate intermediate intoD-glycero-beta-D-manno-heptose-1,7-bisphosphate7-phosphatase
CDS	STM0255	295069	295872	0	catalyzes the reduction of 2,5-diketo-D-gluconicacid to 2-keto-L-gulonic acid2,5-diketo-D-gluconate reductase B
CDS	STM0256	295893	296807	11	LysR family transcriptional regulator
CDS	STM0257	296912	298087	0	drug efflux protein
CDS	STM0258	298240	299019	0	hypothetical protein
CDS	STM0259	299097	299867	0	methyltransferase
CDS	STM0260	299923	301290	11	catalyzes the cleavage of the beta-1,4-glycosidicbond between N-acetylmuramic acid and N-acetylglucosaminemembrane-bound lytic murein transglycosylase D
CDS	STM0261	301362	302117	11	catalyzes the hydrolysis of S-D-lactoylglutathioneto D-lactic acid and reduced glutathione; plays anhydroxyacylglutathione hydrolase
CDS	STM0262	302152	302874	0	SAM-dependent methyltransferase
CDS	STM0263	302871	303338	11	An endonuclease that specifically degrades the RNAstrand of RNA-DNA hybridsribonuclease H
CDS	STM0264	303402	304133	0	3'-5' exonuclease of DNA polymerase IIIDNA polymerase III subunit epsilon
CDS	STM0266	304665	305720	11	cytoplasmic protein
CDS	STM0267	305731	306726	11	cytoplasmic protein
CDS	STM0268	306723	308606	11	cytoplasmic protein
CDS	STM0269	308622	309116	11	cytoplasmic protein
CDS	STM0270	309113	309937	11	cytoplasmic protein
CDS	STM0271	309924	310826	11	cytoplasmic protein
CDS	STM0272	311194	313833	0	chaperone ATPase
CDS	STM0273	313933	314475	0	cytoplasmic protein
CDS	STM0274	314499	316007	0	cytoplasmic protein
CDS	STM0274A	316070	316180	0	invasol SirA
CDS	STM0275	316193	316639	0	hypothetical protein
CDS	STM0276	316893	317378	0	cytoplasmic protein
CDS	STM0292	337095	337835	0	RHS family protein
CDS	STM0293	337829	338275	0	cytoplasmic protein
CDS	STM0294	338838	339275	0	cytoplasmic protein
CDS	STM0294	339328	339603	11	cytoplasmic protein
