type	locus	start	end	orientation	annot
CDS	STM1224	1309844	1310854	11	translocated by the type III secretion systemSPI-2; required for the formation of lysosomalsecreted effector protein SifA
CDS	STM1225	1311183	1312046	11	can transport spermidine and putrescine butaffinity is higher for spermidine; forms a complex ofspermidine/putrescine ABC transporter membraneprotein PotB
CDS	STM1419	1498744	1499391	0	member of a type III secretion system which is partof a pathogenicity island in Salmonella, Yersinia andsecretion system apparatus protein SsaR
CDS	STM1422	1500431	1501489	0	member of a type III secretion system which is partof a pathogenicity island in Salmonella, Yersinia andsecretion system apparatus protein SsaU
CDS	STM1628	1718823	1719098	11	cytoplasmic protein
CDS	STM1637	1726876	1728426	0	inner membrane protein
CDS	STM1771	1869253	1870353	0	calcium/sodium:proton antiporter
CDS	STM1781	1878833	1880518	0	transports mono and dicarboxylates; member of theSulP family of sulfate transportersC4-dicarboxylic acid transporter
CDS	STM1800	1898798	1899712	0	catalyzes the release of D-alanine fromL-alanyl-D-glutamyl-meso-diaminopimelyl-D-alanineL,D-carboxypeptidase A
CDS	STM1802	1901605	1902675	11	catabolic enzyme, converts L-alanine to D-alaninewhich is then oxidized to pyruvate by dadAalanine racemase
CDS	STM1854	1951563	1951727	11	inner membrane protein
CDS	STM1873	1968296	1968649	11	periplasmic proteinhypothetical protein
CDS	STM1956	2044747	2045466	11	sigma factors are initiation factors that promotethe attachment of RNA polymerase to specific initiationRNA polymerase sigma factor FliA
CDS	STM1957	2045735	2046244	11	transposase for insertion sequence element is200(SW:T200_SALTY)insertion sequence element IS200 transposase
CDS	STM1999	2081709	2081870	11	cytoplasmic protein
CDS	STM2001	2082351	2083148	0	Mlc titration factor A
gene	STM2006	2085398	2086237	0	
CDS	STM2008	2088672	2090402	0	periplasmic protein
CDS	STM2057	2131440	2132654	0	involved in coenzyme B(12)-dependent 1,2-propanediol degradation; important for the synthesis ofpropionate kinase
CDS	STM2066	2141570	2143918	0	E3 ubiquitin-protein ligase SopA
CDS	STM2080	2157958	2159124	11	UDP-glucose 6-dehydrogenase (SW:UDG_SALTY)UDP-glucose 6-dehydrogenase
gene	STM2089	2169999	2170898	11	
CDS	STM2116	2198900	2201059	11	Wzc; catalyzes the autophosphorylation on tyrosineresidues which downregulates the biosynthesis of colonictyrosine-protein kinase
CDS	STM2119	2203325	2204905	0	inner membrane protein
CDS	STM2149	2242832	2243839	11	outer membrane lipoprotein
CDS	STM2153	2247906	2248187	11	outer membrane protein
CDS	STM2203	2302659	2303516	0	Assists in DNA repair by cleaving phosphodiesterbonds at apurinic or apyrimidinic sties to produce new 5'endonuclease IV
CDS	STM2204	2303581	2305269	11	phosphoenolpyruvate-dependent sugarphosphotransferase system; catalyzes the phosphorylationPTS system fructose-specific transporter subunitIIBC
CDS	STM2208	2308969	2309634	11	inner membrane protein
CDS	STM2255	2353683	2354285	11	with NapABDFGH functions as a nitrate reductase;NapC functions as an electron shuttle between NapAB andcytochrome c-type protein NapC
CDS	STM2274	2377974	2379299	11	permease
CDS	STM2276	2380316	2381044	0	Involved in ubiquinone biosynthesis3-demethylubiquinone-9 3-methyltransferase
CDS	STM2286	2393110	2394300	0	anaerobic; with GlpAB catalyzes the conversion ofglycerol-3-phosphate to dihydroxyacetone phosphatesn-glycerol-3-phosphate dehydrogenase smallsubunit
CDS	STM2331	2441995	2443209	0	broad specificity; family IV; in Corynebacteriumglutamicum this protein can use glutamate,aminotransferase AlaT
CDS	STM2371	2483595	2484596	0	in Salmonella typhimurium Flk regulates flagellarbiosynthesis by inhibition of the flagellar-associatedflagella biosynthesis regulator
-
gene	STM2372	2484593	2485771	11	
CDS	STM2372	2484593	2485771	11	hypothetical protein
RBS	STM2373	2485778	2485783	11	
CDS	STM2373	2485951	2486325	11	cytoplasmic protein
RBS		2486327	2486332	11	
gene	STM2374	2486498	2486746	0	
CDS	STM2374	2486498	2486746	0	regulatory protein
RBS	STM2375	2486907	2486912	0	
CDS	STM2375	2486915	2487283	0	cytoplasmic protein
RBS	STM2375	2487275	2487280	0	
gene	STM2376	2487283	2487801	0	
CDS	STM2376	2487283	2487801	0	periplasmic protein
gene	STM2377	2487868	2488524	11	
CDS	STM2377	2487868	2488524	11	inner membrane protein
RBS	STM2378	2488524	2488529	11	
CDS	STM2378	2488622	2489836	11	FabB, beta-Ketoacyl-ACP synthase I, KASI; catalyzesa condensation reaction in fatty acid biosynthesis:3-oxoacyl-ACP synthase
RBS		2489841	2489846	11	
gene	STM2379	2489996	2491996	0	
CDS	STM2379	2489996	2491996	0	catalyzes the formation of5-methylaminomethyl-2-thiouridine in position 34 of thebifunctional tRNA(mnm(5)s(2)U34)-methyltransferase/FAD-dependent
gene	STM2380	2492048	2492323	11	
CDS	STM2380	2492048	2492323	11	cytoplasmic protein
RBS	STM2381	2492329	2492334	11	
CDS	STM2381	2492356	2492904	11	cytoplasmic protein
gene	STM2382	2492904	2493713	11	
CDS	STM2382	2492904	2493713	11	inner membrane protein
RBS	STM2382	2492917	2492922	11	
gene	STM2383	2493713	2494537	11	
CDS	STM2383	2493713	2494537	11	penicillin-insensitive murein endopeptidase
RBS	STM2383	2493728	2493733	11	
gene	STM2384	2494541	2495626	11	
CDS	STM2384	2494541	2495626	11	catalyzes the formation of chorismate from5-O-(1-carboxyvinyl)-3-phosphoshikimate in aromatic aminochorismate synthase
RBS	STM2384	2494542	2494547	11	
RBS	STM2385	2495632	2495637	11	
CDS	STM2385	2495662	2496594	11	involved in methylation of ribosomal protein L350S ribosomal protein L3 glutaminemethyltransferase
RBS		2496598	2496603	11	
gene	STM2386	2496760	2497311	0	
CDS	STM2386	2496760	2497311	0	contains Smr domainhypothetical protein
gene	STM2387	2497411	2497896	11	
CDS	STM2387	2497411	2497896	11	phosphohistidine phosphatase
RBS	STM2388	2497901	2497906	11	
CDS	STM2388	2498105	2500252	11	multifunctional fatty acid oxidation complexsubunit alpha
gene	STM2389	2500252	2501562	11	
CDS	STM2389	2500252	2501562	11	FadI; fatty acid oxidation complex component beta;functions in a heterotetramer with FadJ; similar to3-ketoacyl-CoA thiolase
RBS	STM2389	2500261	2500266	11	
RBS	STM2390	2501569	2501574	11	
CDS	STM2390	2501740	2502024	11	cytoplasmic protein
RBS		2502032	2502037	11	
protein_bind		2502250	2502260	0	
-35_signal		2502256	2502264	0	
-10_signal		2502283	2502291	0	
protein_bind		2502344	2502364	0	
protein_bind		2502354	2502366	0	
RBS	STM2391	2502383	2502388	0	
CDS	STM2391	2502389	2503702	0	long-chain fatty acid transporter
protein_bind	STM2391	2502404	2502416	0	
gene	STM2392	2503763	2504518	11	
CDS	STM2392	2503763	2504518	11	lipoprotein
RBS		2504526	2504531	11	
gene	STM2393	2504807	2505748	0	
CDS	STM2393	2504807	2505748	0	inner membrane protein
gene	STM2394	2505824	2505898	0	
tRNA	STM2394	2505824	2505898	0	tRNA-Arg
gene	STM2395	2506055	2506993	11	
CDS	STM2395	2506055	2506993	11	outer membrane protease; involved in virulence inmany organisms; OmpT; IcsP; SopA; Pla; PgtE; omptin; inouter membrane protease E
RBS	STM2396	2507001	2507006	11	
CDS	STM2396	2507261	2508508	11	phosphoglycerate transport system transcriptionalregulatory protein PgtA (SW:PGTA_SALTY); phosphoglyceratephosphoglycerate transport systemtranscriptional regulator PgtA
gene	STM2397	2508498	2510504	11	
CDS	STM2397	2508498	2510504	11	protein for signal transmission; PgtB(SW:PGTB_SALTY); phosphoglycerate transportphosphoglycerate transport system sensor proteinPgtB
RBS	STM2397	2508508	2508513	11	
gene	STM2398	2510501	2511694	11	
CDS	STM2398	2510501	2511694	11	protein for signal transmission; PgtC(SW:PGTC_SALTY); phosphoglycerate transportphosphoglycerate transport regulatory proteinPgtC
RBS	STM2398	2510505	2510510	11	
RBS		2511694	2511699	11	
gene	STM2399	2512130	2513521	0	
CDS	STM2399	2512130	2513521	0	phosphoglycerate transporter protein(SW:PGTP_SALTY); phosphoglycerate transportphosphoglycerate transporter
gene	STM2400	2513797	2514039	11	
CDS	STM2400	2513797	2514039	11	inner membrane protein
RBS		2514049	2514054	11	
gene	STM2401	2514561	2515481	0	
CDS	STM2401	2514561	2515481	0	Acylates the intermediate (KDO)2-lipid IVA to form(KDO)2-(palmitoleoyl)-lipid IVA in cells subjected to coldpalmitoleoyl-ACP-dependent acyltransferase
gene	STM2402	2516005	2517243	11	
CDS	STM2402	2516005	2517243	11	aminotransferase
RBS	STM2403	2517247	2517252	11	
CDS	STM2403	2517964	2518929	11	catalyzes the conversion of ATP and D-glucose toADP and D-glucose 6-phosphateglucokinase
RBS		2518940	2518945	11	
gene	STM2404	2519133	2520368	0	
CDS	STM2404	2519133	2520368	0	ion transport protein
gene	STM2405	2520388	2522040	11	
CDS	STM2405	2520388	2522040	11	indolepyruvate decarboxylase
RBS		2522042	2522047	11	
gene	STM2406	2522220	2523218	0	
CDS	STM2406	2522220	2523218	0	oxidoreductase
RBS	STM2407	2523319	2523324	0	
CDS	STM2407	2523332	2523658	0	periplasmic protein
gene	STM2408	2523719	2524960	11	
CDS	STM2408	2523719	2524960	11	manganese transport protein MntH (SW:MNTH_SALTY);Nramp familydivalent metal cation transporter MntH
RBS		2524965	2524970	11	
-35_signal		2525191	2525199	0	
protein_bind		2525223	2525235	0	
RBS	STM2409	2525292	2525297	0	
CDS	STM2409	2525303	2526505	0	NUP family nucleoside transport protein
gene	STM2410	2526558	2528747	11	
CDS	STM2410	2526558	2528747	11	diguanylate cyclase/phosphodiesterase domain 1;diguanylate cyclase/phosphodiesterase domain 2diguanylate cyclase/phosphodiesterasedomain-containing protein
gene	STM2411	2528938	2529013	11	
tRNA	STM2411	2528938	2529013	11	tRNA-Ala
gene	STM2412	2529056	2529131	11	
tRNA	STM2412	2529056	2529131	11	tRNA-Ala
RBS	STM2413	2529341	2529346	0	
CDS	STM2413	2529353	2529715	0	negative regulator
gene	STM2414	2529717	2530109	0	
CDS	STM2414	2529717	2530109	0	negative regulator
gene	STM2415	2530163	2531578	11	
CDS	STM2415	2530163	2531578	11	Charges one glutamine molecule and pairs it to itscorresponding RNA trinucleotide during proteinglutamate--tRNA ligase
RBS	STM2416	2531584	2531589	11	
tRNA	STM2416	2531837	2531912	0	tRNA-Val
gene	STM2417	2531958	2532033	0	
tRNA	STM2417	2531958	2532033	0	tRNA-Val
gene	STM2418	2532075	2532150	0	
tRNA	STM2418	2532075	2532150	0	tRNA-Val
gene	STM2419	2532153	2532230	0	
tRNA	STM2419	2532155	2532230	0	tRNA-Lys
gene	STM2420	2532394	2533278	11	
CDS	STM2420	2532394	2533278	11	DNA-binding transcriptional activator XapR
RBS	STM2420	2533289	2533294	11	
CDS	STM2420	2533330	2533488	11	hypothetical protein
-10_signal	STM2420	2533330	2533338	11	
-35_signal	STM2420	2533349	2533357	11	
gene	STM2421	2533547	2534803	11	
CDS	STM2421	2533547	2534803	11	MFS superfamily xanthosine permease
RBS	STM05445	2534810	2534815	11	
CDS	STM05445	2534858	2535691	11	purine nucleoside phosphorylase
RBS		2535696	2535701	11	
-35_signal		2535739	2535747	11	
gene	STM2423	2535947	2536708	0	
CDS	STM2423	2535947	2536708	0	outer membrane protein
gene	STM2424	2536770	2537696	11	
CDS	STM2424	2536770	2537696	11	LysR family transcriptional regulator
RBS	STM2425	2537775	2537780	0	
CDS	STM2425	2537786	2538784	0	Na+-dependent transporter
gene	STM2426	2538781	2538999	11	
CDS	STM2426	2538781	2538999	11	cytoplasmic protein
gene	STM2427	2539001	2541016	11	
CDS	STM2427	2539001	2541016	11	this protein catalyzes the formation ofphosphodiester linkages between 5'-phosphoryl andDNA ligase
RBS	STM2428	2541021	2541026	11	
CDS	STM2428	2541088	2542074	11	interacts with cell division protein FitsZ and maybe required to anchor septal ring structurecell division protein ZipA
RBS		2542078	2542083	11	
gene	STM2429	2542306	2543067	0	
CDS	STM2429	2542306	2543067	0	role in sulfur assimilationsulfate transport protein CysZ
-35_signal		2543158	2543166	0	
RBS	STM2430	2543220	2543225	0	
CDS	STM2430	2543231	2544202	0	CysK; forms a complex with serine acetyltransferaseCysE; functions in cysteine biosynthesiscysteine synthase A
protein_bind		2544252	2544272	0	
protein_bind		2544368	2544382	0	
protein_bind		2544382	2544394	0	
-35_signal		2544493	2544501	0	
RBS	STM2431	2544573	2544578	0	
CDS	STM2431	2544586	2544843	0	phosphocarrier protein HPR; histidine-containingprotein (SW:PTHP_ECOLI); PTS family, Hpr proteinPTS system phosphohistidinoprotein-hexosephosphotransferase Hpr
RBS	STM2432	2544881	2544886	0	
CDS	STM2432	2544892	2546619	0	Phosphotransferase system, enzyme I; transfers thephosphoryl group from phosphoenolpyruvate (PEP) to thephosphoenolpyruvate-protein phosphotransferase
RBS	STM2433	2546648	2546653	0	
CDS	STM2433	2546660	2547169	0	functions in phosphoenolpyruvate-(PEP)-dependentphosphotransferase (PTS) system; functions in thePTS system glucose-specific transporter subunitIIA
gene	STM2434	2547318	2547557	11	
CDS	STM2434	2547318	2547557	11	cytoplasmic protein
gene	STM2435	2547554	2548420	11	
CDS	STM2435	2547554	2548420	11	catalyzes the formation of pyridoxal 5'-phosphatefrom pyridoxalpyridoxal kinase
RBS	STM2435	2547559	2547564	11	
RBS		2548427	2548432	11	
gene	STM2436	2548503	2549795	0	
CDS	STM2436	2548503	2549795	0	transcriptional regulator PtsJ (SW:PTSJ_SALTY);GntR familytranscriptional regulator PtsJ
RBS	STM2437	2549802	2549807	0	
CDS	STM2437	2549810	2550529	0	Catalyzes the transfer of the ammonia group fromglutamine to a new carbon-nitrogen groupglutamine amidotransferase
RBS	STM2438	2550569	2550574	0	
CDS	STM2438	2550588	2550968	0	hypothetical 13.3 kDa protein in pdxK-cysMintergenic region (SW:YFEK_SALTY)hypothetical protein
RBS	STM2439	2550977	2550982	0	
CDS	STM2439	2550981	2551520	0	hypothetical 20.5 kDa protein in pdxK-cysMintergenic regionhypothetical protein
gene	STM2440	2551651	2552562	11	
CDS	STM2440	2551651	2552562	11	catalyzes the formation of cysteine from3-O-acetyl-L-serine and hydrogen sulfidecysteine synthase B
RBS	STM2441	2552565	2552570	11	
CDS	STM2441	2552630	2553727	11	sulfate transport atp-binding protein CYSA(SW:CYSA_SALTY); ABC superfamily ATP-binding protein;sulfate/thiosulfate ABC transporter ATP-bindingprotein CysA
gene	STM2442	2553717	2554592	11	
CDS	STM2442	2553717	2554592	11	Part of the ABC transporter complex cysAWTPinvolved in sulfate/thiosulfate importsulfate/thiosulfate ABC transporter permeaseCysW
RBS	STM2442	2553735	2553740	11	
gene	STM2443	2554592	2555425	11	
CDS	STM2443	2554592	2555425	11	sulfate/thiosulfateABC transporter permeaseCysU
RBS	STM2443	2554592	2554597	11	
gene	STM2444	2555425	2556441	11	
CDS	STM2444	2555425	2556441	11	thiosulfate-binding protein (SW:CYSP_SALTY); ABCsuperfamily binding proteinsulfate/thiosulfate ABC transportersubstrate-binding protein CysT
RBS	STM2444	2555434	2555439	11	
RBS		2556447	2556452	11	
-35_signal	STM2445	2556539	2556547	11	
CDS	STM2445	2556599	2557390	11	oxidoreductase
RBS	STM2446	2557400	2557405	11	
CDS	STM2446	2557628	2558527	11	iron-dependent peroxidase
RBS	STM2447	2558533	2558538	11	
CDS	STM2447	2558622	2559197	11	outer membrane lipoprotein
RBS	STM2448	2559203	2559208	11	
CDS	STM2448	2559259	2559708	11	inner membrane protein
gene	STM2449	2559695	2560120	11	
CDS	STM2449	2559695	2560120	11	acetyltransferase
RBS	STM2450	2560325	2560330	0	
CDS	STM2450	2560333	2561202	0	probable N-acetylmuramoyl-L-alanine amidase AMIA(SW:AMIA_SALTY)N-acetylmuramoyl-l-alanine amidase I
RBS	STM2450	2561196	2561201	0	
gene	STM2451	2561205	2562104	0	
CDS	STM2451	2561205	2562104	0	catalyzes the conversion of the propionic acidgroups of rings I and III to vinyl groups during hemecoproporphyrinogen III oxidase
gene	STM2452	2562125	2562454	0	
CDS	STM2452	2562125	2562454	0	hypothetical protein in eutR-hemF intergenicregion; ORF33 (SW:YPFK_SALTY)hypothetical protein
RBS	STM2453	2562576	2562581	0	
CDS	STM2453	2562583	2563860	0	hypothetical 30.0 kDa protein in eutR-hemFintergenic region (ORF79) (SW:YPFL_SALTY)hypothetical protein
gene	STM2454	2564060	2565112	11	
CDS	STM2454	2564060	2565112	11	activates the transcription of the ethanolamineutilization operonHTH-type transcriptional regulator EutR
RBS	STM2455	2565122	2565127	11	
CDS	STM2455	2565160	2565654	11	ethanolamine utilization protein EutK(SW:EUTK_SALTY)carboxysome structural protein EutK
RBS	STM2456	2565662	2565667	11	
CDS	STM2456	2565667	2566326	11	ethanolamine utilization protein EutL(SW:EUTL_SALTY)carboxysome structural protein EutL
RBS	STM2457	2566332	2566337	11	
CDS	STM2457	2566336	2567232	11	catalyzes the formation of acetaldehyde fromethanolamineethanolamine ammonia-lyase small subunit EutC
RBS	STM2458	2567241	2567246	11	
CDS	STM2458	2567251	2568612	11	ethanolamine ammonia-lyase heavy chain(SW:EUTB_SALTY)ethanolamine ammonia-lyase large subunit EutB
RBS	STM2459	2568620	2568625	11	
CDS	STM2459	2568624	2570027	11	reactivating factor for ethanolamine ammonia lyaseethanolamine utilization protein EutA
gene	STM2460	2570024	2571250	11	
CDS	STM2460	2570024	2571250	11	ethanolamine utilization protein EutH(SW:EUTH_SALTY)ethanolamine transporter EutH
RBS	STM2460	2570036	2570041	11	
RBS	STM2461	2571260	2571265	11	
CDS	STM2461	2571370	2572557	11	ethanolamine utilization protein EutG(SW:EUTG_SALTY)ethanol dehydrogenase EutG
gene	STM2462	2572547	2573386	11	
CDS	STM2462	2572547	2573386	11	ethanolamine utilization protein EutJ
RBS	STM2462	2572565	2572570	11	
RBS	STM2463	2573393	2573398	11	
CDS	STM2463	2573397	2574800	11	invovled in ethanolamine utilization protein EutE(SW:EUTE_SALTY)aldehyde oxidoreductase EutE
RBS	STM2464	2574809	2574814	11	
CDS	STM2464	2574812	2575099	11	involved in ethanolamine utilization protein EutN(SW:EUTN_SALTY)microcompartment shell protein EutN
gene	STM2465	2575212	2575502	11	
CDS	STM2465	2575212	2575502	11	involved in ethanolamine utilization protein EutM(SW:EUTM_SALTY)carboxysome structural protein EutM
RBS	STM2466	2575509	2575514	11	
CDS	STM2466	2575543	2576559	11	in Salmonella this enzyme is required forethanolamine catabolism; has higher affinity for CoA thanphosphotransacetylase EutD
gene	STM2467	2576556	2577359	11	
CDS	STM2467	2576556	2577359	11	ethanolamine utilization cobalaminadenosyltransferase (SW:EUTT_SALTY)cobalamin adenosyltransferase EutT
RBS	STM2467	2576562	2576567	11	
gene	STM2468	2577356	2578045	11	
CDS	STM2468	2577356	2578045	11	ethanolamine utilization protein EutQ(SW:EUTQ_SALTY)ethanolamine utilization protein EutQ
RBS	STM2468	2577366	2577371	11	
gene	STM2469	2578023	2578502	11	
CDS	STM2469	2578023	2578502	11	ethanolamine utilization protein EutP(SW:EUTP_SALTY)ethanolamine utilization protein EutP
RBS	STM2469	2578056	2578061	11	
RBS	STM2470	2578506	2578511	11	
CDS	STM2470	2578515	2578850	11	ethanolamine utilization protein EutS(SW:EUTS_SALTY)carboxysome structural protein EutS
RBS		2578861	2578866	11	insertion sequence:IS200_3
gene	STM2471	2579331	2579789	11	
CDS	STM2471	2579331	2579789	11	transposase for insertion sequence element IS200(SW:T200_SALTY)insertion sequence element IS200 transposase
RBS	STM2472	2579790	2579795	11	
CDS	STM2472	2579979	2582258	11	NADP-dependent; catalyzes the oxidativedecarboxylation of malate to form pyruvate; decarboxylatesmalic enzyme
RBS		2582266	2582271	11	
gene	STM2473	2582530	2583480	0	
CDS	STM2473	2582530	2583480	0	Maintains the balance of metabolites in thepentose-phosphate pathwaytransaldolase A
RBS	STM2474	2583488	2583493	0	
CDS	STM2474	2583500	2585500	0	catalyzes the formation of ribose 5-phosphate andxylulose 5-phosphate from sedoheptulose 7-phosphate andtransketolase
gene	STM2475	2585563	2585793	11	
CDS	STM2475	2585563	2585793	11	cytoplasmic protein
RBS	STM2476	2585796	2585801	11	
CDS	STM2476	2585921	2586964	11	periplasmic protein
RBS	STM2477	2586976	2586981	11	
CDS	STM2477	2587089	2587664	11	GDP-mannose pyrophosphatase NudK
RBS		2587670	2587675	11	
gene	STM2478	2587868	2589166	0	
CDS	STM2478	2587868	2589166	0	hypothetical protein
gene	STM2479	2589615	2591576	11	
CDS	STM2479	2589615	2591576	11	unknown function; in E. coli the aegA gene isregulated by Fnr, NarXL, and NarQ (but not ArcA), inducedoxidoreductase Fe-S binding subunit
RBS		2591580	2591585	11	
gene	STM2480	2591762	2593462	0	
CDS	STM2480	2591762	2593462	0	sensory histidine kinase NarQ
RBS	STM2481	2593633	2593638	0	
CDS	STM2481	2593647	2596760	0	RND family aminoglycoside/multidrug efflux pump
RBS	STM2482	2597323	2597328	0	
CDS	STM2482	2597334	2597690	0	glutaredoxin family protein
RBS	STM2482	2597682	2597687	0	
gene	STM2483	2597694	2598821	0	
CDS	STM2483	2597694	2598821	0	dapE-encoded N-succinyl-L,L-diaminopimelic aciddesuccinylase (DapE), catalyzes the hydrolysis ofsuccinyl-diaminopimelate desuccinylase
RBS	STM2484	2598842	2598847	0	
CDS	STM2484	2598849	2599049	0	hypothetical protein
gene	STM2485	2599076	2601094	11	
CDS	STM2485	2599076	2601094	11	tRNA(Met) cytidine acetyltransferase TmcA
RBS	STM2486	2601100	2601105	11	
CDS	STM2486	2601110	2601973	11	inner membrane protein
RBS	STM2487	2601977	2601982	11	
CDS	STM2487	2602104	2602817	11	catalyzes the formation of(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-phosphoribosylaminoimidazole-succinocarboxamidesynthase
RBS		2602826	2602831	11	
-10_signal		2602956	2602964	11	
gene	STM2488	2602992	2604026	11	
CDS	STM2488	2602992	2604026	11	outer membrane protein assembly factor BamC
RBS	STM2489	2604033	2604038	11	
CDS	STM2489	2604043	2604921	11	catalyzes the formation of4-hydroxy-tetrahydrodipicolinate from L-aspartate4-hydroxy-tetrahydrodipicolinate synthase
RBS		2604927	2604932	11	
-35_signal	STM2490	2604975	2604983	11	
CDS	STM2490	2605067	2605639	0	negative transcriptional regulator of the gcvTHPoperonglycine cleavage system transcriptionalrepressor
RBS	STM2490	2605622	2605627	0	
gene	STM2491	2605639	2606109	0	
CDS	STM2491	2605639	2606109	0	bacterioferritin comigratory protein; thiolperoxidase; thioredoxin-dependent; hydroperoxidethioredoxin-dependent thiol peroxidase
gene	STM2492	2606156	2606509	11	
CDS	STM2492	2606156	2606509	11	glycerate kinase
gene	STM2493	2606696	2607763	11	
CDS	STM2493	2606696	2607763	11	PerM family permease
RBS		2607772	2607777	11	
gene	STM2494	2607971	2609434	0	
CDS	STM2494	2607971	2609434	0	inner membrane or exported proteinhypothetical protein
RBS	STM2495	2609463	2609468	0	
CDS	STM2495	2609474	2609833	0	arsenate reductase
gene	STM2496	2609860	2610585	11	
CDS	STM2496	2609860	2610585	11	controls initiation of DNA replication byinhibiting re-initiation of replication, promotesDnaA regulatory inactivator Hda
gene	STM2497	2610656	2611945	11	
CDS	STM2497	2610656	2611945	11	uracil transporter
RBS	STM2498	2611952	2611957	11	
CDS	STM2498	2612033	2612659	11	Catalyzes the formation of uracil and5-phospho-alpha-D-ribosy 1-diphosphate from UMP anduracil phosphoribosyltransferase
RBS		2612671	2612676	11	
-35_signal		2612812	2612820	11	
-35_signal		2613009	2613017	0	
RBS	STM2499	2613067	2613072	0	
CDS	STM2499	2613073	2614110	0	catalyzes the formation of1-(5-phosphoribosyl)-5-aminoimidazole fromphosphoribosylformylglycinamidine cyclo-ligase
RBS	STM2499	2614096	2614101	0	
gene	STM2500	2614110	2614748	0	
CDS	STM2500	2614110	2614748	0	glycinamide ribonucleotide transformylase; GARTfase; catalyzes the synthesis ofphosphoribosylglycinamide formyltransferase
RBS	STM2501	2614920	2614925	0	
CDS	STM2501	2614937	2617003	0	catalyzes the reversible transfer of the terminalphosphate of ATP to form a long chain polyphosphatepolyphosphate kinase
gene	STM2502	2617008	2618549	0	
CDS	STM2502	2617008	2618549	0	exopolyphosphatase
gene	STM2503	2618585	2620798	11	
CDS	STM2503	2618585	2620798	11	diguanylate cyclase
gene	STM2505	2621103	2621363	11	
CDS	STM2505	2621103	2621363	11	inner membrane protein
RBS	STM2506	2621199	2621204	0	
CDS	STM2506	2621211	2621402	0	inner membrane protein
RBS	STM2508	2621363	2621368	11	
CDS	STM2508	2621943	2622272	0	cytoplasmic protein
gene	STM2509	2622292	2622648	11	
CDS	STM2509	2622292	2622648	11	transposase
RBS	STM2510	2622648	2622653	11	
